Temperature: loadcase=1,period=1
   7            4.196
   8            4.196
   9            0.185
  10            0.190
  11            0.185
  12            0.190
  13            0.193
  14            0.182
  15            0.193
  16            0.182
Temperature: loadcase=1,period=72
   1            4.184
   2            4.184
   3            4.184
   4            4.184
   5            4.184
   6            4.184
   7            4.184
   8            4.184
   9            0.185
  10            0.175
  11            0.185
  12            0.175
  13            0.174
  14            0.187
  15            0.174
  16            0.187
Temperature: loadcase=1,period=73
   1            4.173
   2            4.173
   3            4.173
   4            4.173
   5            4.173
   6            4.173
   7            4.173
   8            4.173
   9            0.160
  10            0.171
  11            0.160
  12            0.171
  13            0.174
  14            0.157
  15            0.174
  16            0.158
Temperature: loadcase=1,period=74
   1            4.163
   2            4.163
   3            4.163
   4            4.163
   5            4.163
   6            4.163
   7            4.163
   8            4.163
   9            0.162
  10            0.156
  11            0.161
  12            0.156
  13            0.155
  14            0.163
  15            0.155
  16            0.163
Temperature: loadcase=1,period=75
   1            4.153
   2            4.153
   3            4.153
   4            4.153
   5            4.153
   6            4.153
   7            4.153
   8            4.153
   9            0.147
  10            0.146
  11            0.147
  12            0.146
  13            0.148
  14            0.145
  15            0.148
  16            0.145
Temperature: loadcase=1,period=76
   1            4.144
   2            4.144
   3            4.144
   4            4.144
   5            4.144
   6            4.144
   7            4.144
   8            4.144
   9            0.138
  10            0.142
  11            0.138
  12            0.142
  13            0.138
  14            0.142
  15            0.139
  16            0.142
Temperature: loadcase=1,period=77
   1            4.135
   2            4.135
   3            4.135
   4            4.135
   5            4.135
   6            4.135
   7            4.135
   8            4.135
   9            0.132
  10            0.127
  11            0.132
  12            0.126
  13            0.129
  14            0.129
  15            0.129
  16            0.130
Temperature: loadcase=1,period=78
   1            4.127
   2            4.127
   3            4.127
   4            4.127
   5            4.127
   6            4.127
   7            4.127
   8            4.127
   9            0.122
  10            0.126
  11            0.122
  12            0.126
  13            0.124
  14            0.124
  15            0.124
  16            0.123
Temperature: loadcase=1,period=79
   1            4.119
   2            4.119
   3            4.119
   4            4.119
   5            4.119
   6            4.119
   7            4.119
   8            4.119
   9            0.117
  10            0.111
  11            0.117
  12            0.111
  13            0.112
  14            0.116
  15            0.112
  16            0.117
Temperature: loadcase=1,period=80
   1            4.112
   2            4.112
   3            4.112
   4            4.112
   5            4.112
   6            4.112
   7            4.112
   8            4.112
   9            0.108
  10            0.111
  11            0.108
  12            0.111
  13            0.112
  14            0.106
  15            0.112
  16            0.107
Temperature: loadcase=1,period=81
   1            4.105
   2            4.105
   3            4.105
   4            4.105
   5            4.105
   6            4.105
   7            4.105
   8            4.105
   9            0.101
  10            0.100
  11            0.101
  12            0.100
  13            0.098
  14            0.104
  15            0.098
  16            0.104
Temperature: loadcase=1,period=82
   1            4.099
   2            4.099
   3            4.099
   4            4.099
   5            4.099
   6            4.099
   7            4.099
   8            4.099
   9            0.094
  10            0.099
  11            0.094
  12            0.099
  13            0.100
  14            0.093
  15            0.100
  16            0.093
Temperature: loadcase=1,period=83
   1            4.093
   2            4.093
   3            4.093
   4            4.093
   5            4.093
   6            4.093
   7            4.093
   8            4.093
   9            0.094
  10            0.085
  11            0.094
  12            0.084
  13            0.083
  14            0.095
  15            0.083
  16            0.095
Temperature: loadcase=1,period=84
   1            4.087
   2            4.087
   3            4.087
   4            4.087
   5            4.087
   6            4.087
   7            4.087
   8            4.087
   9            0.078
  10            0.092
  11            0.078
  12            0.092
  13            0.091
  14            0.079
  15            0.091
  16            0.079
Temperature: loadcase=1,period=85
   1            4.082
   2            4.082
   3            4.082
   4            4.082
   5            4.082
   6            4.082
   7            4.082
   8            4.082
   9            0.084
  10            0.073
  11            0.084
  12            0.073
  13            0.071
  14            0.086
  15            0.071
  16            0.086
Temperature: loadcase=1,period=86
   1            4.077
   2            4.077
   3            4.077
   4            4.077
   5            4.077
   6            4.077
   7            4.077
   8            4.077
   9            0.073
  10            0.077
  11            0.073
  12            0.077
  13            0.077
  14            0.073
  15            0.077
  16            0.073
Temperature: loadcase=1,period=87
   1            4.072
   2            4.072
   3            4.072
   4            4.072
   5            4.072
   6            4.072
   7            4.072
   8            4.072
   9            0.072
  10            0.066
  11            0.072
  12            0.067
  13            0.068
  14            0.071
  15            0.068
  16            0.070
Temperature: loadcase=1,period=88
   1            4.068
   2            4.068
   3            4.068
   4            4.068
   5            4.068
   6            4.068
   7            4.068
   8            4.068
   9            0.062
  10            0.071
  11            0.062
  12            0.071
  13            0.067
  14            0.065
  15            0.067
  16            0.066
Temperature: loadcase=1,period=89
   1            4.064
   2            4.064
   3            4.064
   4            4.064
   5            4.064
